CustomerID,Recency,Frequency,Monetary
12346,529,11,372.86
12347,2,8,3888.01
12348,249,4,312.36
12349,19,3,2635.04
12350,310,1,294.4
12351,375,1,288.18
12352,36,9,1461.99
12353,204,2,347.06
12354,232,1,682.69
12355,214,2,656.11
12356,246,5,1939.43
12357,33,2,6542.49
12358,2,5,1993.93
12359,58,10,4864.34
12360,52,6,3061.95
12361,287,4,451.25
12362,3,10,4098.94
12363,110,2,484.5
12364,8,3,1106.28
12365,291,1,307.94
12367,4,1,138.3
12368,628,1,371.5
12369,413,3,1280.13
12370,51,7,3073.58
12371,60,4,3088.08
12372,72,3,938.34
12373,311,3,833.1500000000001
12374,25,3,1900.78
12375,11,2,283.3
12376,418,1,112.55
12377,315,4,2893.84
12378,130,2,4473.21
12379,82,4,1409.52
12380,22,8,5233.07
12381,5,5,1253.46
12383,185,5,1211.84
12384,29,2,286.32
12385,379,1,1359.1
12386,367,1,215.7
12387,415,1,110.03999999999999
12388,16,8,3556.55
12389,403,3,1209.43
12390,80,1,407.74
12391,22,5,1890.66
12392,591,1,196.95000000000002
12393,72,6,1877.7
12394,217,1,331.18
12395,19,15,3213.91
12396,674,1,883.58
12397,36,2,1720.01
12398,46,1,1349.44
12399,119,7,1293.84
12400,414,1,205.25
12401,303,1,32.85
12402,323,6,1124.15
12403,50,2,160.4
12405,149,1,1104.8700000000001
12406,22,5,4640.2
12407,50,5,1085.01
12408,33,8,2727.91
12409,79,5,4248.51
12410,309,2,497.61
12411,410,1,255.4
12412,75,6,2103.83
12413,67,4,652.1500000000001
12414,217,4,418.53000000000003
12415,25,15,6242.41
12416,657,1,202.56
12417,3,20,3974.29
12418,113,4,1655.41
12419,386,2,274.31
12420,64,1,380.3
12421,16,6,810.28
12422,96,12,2394.65
12423,1,10,2179.29
12424,163,4,1701.05
12425,78,2,1446.13
12426,195,2,1104.76
12427,22,3,425.62
12428,26,8,4830.43
12429,9,8,3466.73
12430,43,1,168.6
12431,60,23,6899.47
12432,43,4,1909.68
